"Gender","Age","Marital_Status","Website_Activity","Browsed_Electronics_12Mo","Bought_Electronics_12Mo","Bought_Digital_Media_18Mo","Bought_Digital_Books","Payment_Method","User_ID","eReader_Adoption"
"M",21.0,"M","Seldom","No","Yes","Yes","Yes","Bank Transfer",4787.0,"Early Adopter"
"F",48.0,"M","Seldom","Yes","No","Yes","Yes","Credit Card",1720.0,"Early Majority"
"F",55.0,"S","Regular","Yes","Yes","Yes","No","Credit Card",7763.0,"Early Majority"
"M",37.0,"S","Seldom","Yes","No","Yes","No","Credit Card",7356.0,"Early Majority"
"M",36.0,"M","Seldom","Yes","No","No","No","Website Account",6916.0,"Late Majority"
"F",19.0,"M","Seldom","No","No","Yes","Yes","Bank Transfer",2979.0,"Innovator"
"M",22.0,"S","Seldom","Yes","No","No","No","Website Account",1328.0,"Early Majority"
"M",45.0,"S","Seldom","Yes","Yes","Yes","No","Website Account",7817.0,"Late Majority"
"F",46.0,"M","Regular","Yes","No","Yes","Yes","Bank Transfer",4937.0,"Innovator"
"F",44.0,"M","Seldom","Yes","Yes","Yes","No","Bank Transfer",3879.0,"Late Majority"
"F",55.0,"M","Seldom","Yes","No","Yes","Yes","Monthly Billing",1757.0,"Early Adopter"
"M",31.0,"M","Seldom","Yes","No","Yes","No","Website Account",9651.0,"Late Majority"
"F",18.0,"S","Seldom","Yes","No","Yes","No","Website Account",8096.0,"Early Majority"
"F",45.0,"S","Seldom","No","Yes","Yes","No","Bank Transfer",5575.0,"Late Majority"
"F",23.0,"M","Seldom","Yes","No","Yes","Yes","Bank Transfer",7793.0,"Innovator"
"F",62.0,"S","Seldom","Yes","No","Yes","No","Website Account",4423.0,"Late Majority"
"F",46.0,"M","Seldom","Yes","No","Yes","Yes","Bank Transfer",7117.0,"Early Adopter"
"M",62.0,"M","Seldom","Yes","Yes","Yes","No","Website Account",6974.0,"Late Majority"
"M",65.0,"M","Seldom","Yes","Yes","No","No","Bank Transfer",5928.0,"Late Majority"
"F",25.0,"M","Seldom","Yes","No","Yes","Yes","Monthly Billing",6415.0,"Early Adopter"
"M",48.0,"S","Seldom","Yes","Yes","No","No","Monthly Billing",3505.0,"Late Majority"
"F",60.0,"M","Frequent","Yes","Yes","Yes","Yes","Monthly Billing",5108.0,"Early Adopter"
"F",58.0,"M","Frequent","Yes","No","Yes","No","Bank Transfer",9895.0,"Early Adopter"
"F",59.0,"M","Regular","Yes","Yes","Yes","Yes","Monthly Billing",2670.0,"Early Adopter"
"M",56.0,"M","Seldom","Yes","Yes","Yes","Yes","Bank Transfer",8231.0,"Early Adopter"
"M",36.0,"M","Seldom","Yes","Yes","Yes","No","Website Account",5429.0,"Late Majority"
"F",48.0,"S","Seldom","No","No","Yes","Yes","Bank Transfer",8951.0,"Early Majority"
"F",22.0,"S","Seldom","Yes","No","Yes","No","Bank Transfer",7488.0,"Early Majority"
"M",55.0,"S","Regular","Yes","No","Yes","No","Bank Transfer",3514.0,"Early Majority"
"F",18.0,"S","Seldom","Yes","Yes","Yes","Yes","Website Account",4303.0,"Innovator"
"F",63.0,"M","Frequent","Yes","Yes","Yes","No","Bank Transfer",9547.0,"Early Adopter"
"F",22.0,"M","Regular","Yes","Yes","Yes","No","Website Account",5666.0,"Early Adopter"
"F",37.0,"M","Regular","Yes","No","Yes","No","Bank Transfer",3960.0,"Early Adopter"
"M",19.0,"S","Regular","Yes","No","Yes","No","Website Account",4177.0,"Early Adopter"
"F",53.0,"S","Seldom","Yes","No","Yes","No","Monthly Billing",4838.0,"Late Majority"
"M",37.0,"M","Regular","Yes","No","No","No","Website Account",9939.0,"Early Adopter"
"M",24.0,"S","Seldom","Yes","No","Yes","No","Bank Transfer",2586.0,"Early Majority"
"M",66.0,"S","Regular","Yes","Yes","No","No","Bank Transfer",7688.0,"Early Majority"
"M",45.0,"M","Seldom","Yes","No","Yes","Yes","Bank Transfer",3243.0,"Early Adopter"
"M",17.0,"S","Seldom","Yes","No","Yes","Yes","Website Account",1153.0,"Early Adopter"
"F",50.0,"M","Frequent","Yes","No","Yes","No","Website Account",1596.0,"Early Adopter"
"F",50.0,"M","Seldom","Yes","Yes","Yes","No","Bank Transfer",6775.0,"Late Majority"
"M",23.0,"M","Seldom","Yes","No","Yes","No","Website Account",5524.0,"Early Majority"
"F",49.0,"S","Seldom","Yes","Yes","Yes","No","Bank Transfer",9092.0,"Late Majority"
"M",63.0,"M","Regular","Yes","Yes","No","No","Bank Transfer",4850.0,"Early Majority"
"F",17.0,"M","Seldom","Yes","No","Yes","No","Website Account",9058.0,"Early Majority"
"F",27.0,"S","Seldom","Yes","Yes","Yes","No","Credit Card",4766.0,"Early Majority"
"M",62.0,"M","Seldom","Yes","No","Yes","No","Website Account",3170.0,"Late Majority"
"F",56.0,"M","Regular","Yes","Yes","Yes","No","Credit Card",1858.0,"Early Majority"
"M",27.0,"S","Seldom","Yes","No","Yes","Yes","Monthly Billing",9327.0,"Early Adopter"
"M",48.0,"M","Seldom","Yes","Yes","Yes","No","Credit Card",9252.0,"Late Majority"
"M",36.0,"S","Seldom","No","No","Yes","Yes","Bank Transfer",5071.0,"Early Majority"
"F",41.0,"M","Regular","Yes","Yes","No","Yes","Website Account",7333.0,"Innovator"
"M",37.0,"M","Regular","Yes","Yes","No","No","Bank Transfer",8184.0,"Early Adopter"
"M",27.0,"M","Seldom","No","Yes","Yes","No","Website Account",4148.0,"Late Majority"
"F",26.0,"M","Regular","Yes","No","Yes","No","Website Account",8747.0,"Early Adopter"
"F",41.0,"M","Seldom","Yes","No","Yes","No","Bank Transfer",9201.0,"Early Majority"
"F",44.0,"M","Regular","No","No","Yes","Yes","Website Account",7500.0,"Early Adopter"
"M",35.0,"M","Seldom","Yes","Yes","Yes","Yes","Website Account",8666.0,"Early Adopter"
"F",61.0,"M","Seldom","Yes","Yes","Yes","No","Bank Transfer",6498.0,"Late Majority"
"F",17.0,"M","Seldom","Yes","Yes","Yes","No","Bank Transfer",6014.0,"Early Majority"
"F",19.0,"S","Seldom","Yes","No","Yes","Yes","Website Account",3377.0,"Early Adopter"
"F",59.0,"S","Seldom","Yes","Yes","Yes","No","Bank Transfer",7464.0,"Late Majority"
"F",24.0,"M","Regular","Yes","No","Yes","No","Credit Card",8105.0,"Innovator"
"M",31.0,"M","Seldom","Yes","Yes","Yes","Yes","Bank Transfer",8524.0,"Innovator"
"F",43.0,"S","Seldom","Yes","Yes","No","Yes","Credit Card",8653.0,"Early Adopter"
"M",38.0,"M","Seldom","Yes","No","Yes","No","Credit Card",2428.0,"Early Majority"
"M",59.0,"M","Seldom","Yes","No","Yes","No","Website Account",4150.0,"Late Majority"
"M",36.0,"S","Regular","Yes","No","Yes","Yes","Bank Transfer",1798.0,"Innovator"
"M",39.0,"M","Seldom","Yes","No","Yes","Yes","Bank Transfer",6210.0,"Early Adopter"
"M",41.0,"S","Seldom","Yes","Yes","Yes","No","Bank Transfer",5223.0,"Early Majority"
"F",62.0,"M","Regular","Yes","Yes","Yes","Yes","Credit Card",4592.0,"Early Adopter"
"F",41.0,"S","Seldom","No","No","Yes","No","Bank Transfer",2453.0,"Early Majority"
"F",54.0,"S","Regular","Yes","No","Yes","No","Website Account",2688.0,"Early Majority"
"F",23.0,"M","Seldom","Yes","Yes","Yes","No","Monthly Billing",1415.0,"Early Majority"
"M",49.0,"S","Regular","Yes","Yes","Yes","Yes","Website Account",3171.0,"Early Adopter"
"F",59.0,"M","Regular","Yes","Yes","Yes","Yes","Bank Transfer",2296.0,"Innovator"
"F",39.0,"M","Regular","Yes","No","No","Yes","Website Account",6745.0,"Innovator"
"F",60.0,"M","Seldom","Yes","No","Yes","Yes","Website Account",8701.0,"Early Adopter"
"F",48.0,"M","Regular","Yes","Yes","Yes","No","Website Account",6413.0,"Early Majority"
"M",29.0,"M","Seldom","No","No","Yes","No","Bank Transfer",2045.0,"Early Majority"
"M",22.0,"S","Seldom","Yes","Yes","Yes","No","Bank Transfer",8749.0,"Early Majority"
"F",44.0,"M","Seldom","Yes","Yes","Yes","Yes","Website Account",6097.0,"Early Majority"
"M",36.0,"M","Seldom","No","No","Yes","No","Bank Transfer",6058.0,"Early Majority"
"F",43.0,"M","Frequent","Yes","No","Yes","No","Bank Transfer",4491.0,"Innovator"
"M",38.0,"M","Seldom","Yes","No","Yes","Yes","Website Account",3056.0,"Early Majority"
"F",56.0,"M","Seldom","Yes","Yes","No","Yes","Bank Transfer",4006.0,"Early Majority"
"F",41.0,"M","Seldom","Yes","Yes","No","No","Bank Transfer",9726.0,"Early Majority"
"F",28.0,"S","Seldom","No","Yes","Yes","No","Monthly Billing",6439.0,"Late Majority"
"M",37.0,"M","Regular","Yes","Yes","Yes","No","Bank Transfer",5860.0,"Early Adopter"
"F",38.0,"S","Seldom","Yes","Yes","Yes","Yes","Bank Transfer",1601.0,"Early Majority"
"F",52.0,"M","Seldom","Yes","Yes","No","Yes","Credit Card",4684.0,"Early Adopter"
"F",41.0,"S","Seldom","Yes","No","Yes","No","Bank Transfer",9643.0,"Early Majority"
"M",38.0,"M","Regular","Yes","Yes","Yes","Yes","Website Account",9974.0,"Innovator"
"M",41.0,"M","Seldom","Yes","Yes","Yes","No","Credit Card",2408.0,"Early Majority"
"F",20.0,"M","Seldom","Yes","No","Yes","Yes","Credit Card",7309.0,"Early Adopter"
"M",46.0,"M","Seldom","Yes","No","Yes","Yes","Bank Transfer",2528.0,"Early Adopter"
"F",50.0,"M","Regular","Yes","No","Yes","Yes","Credit Card",2097.0,"Innovator"
"F",27.0,"M","Seldom","Yes","Yes","Yes","No","Website Account",4747.0,"Late Majority"
"M",62.0,"S","Regular","Yes","No","Yes","Yes","Credit Card",9845.0,"Innovator"
"M",54.0,"M","Regular","Yes","No","No","Yes","Bank Transfer",4995.0,"Innovator"
"F",32.0,"M","Seldom","No","Yes","Yes","Yes","Monthly Billing",4166.0,"Early Adopter"
"M",45.0,"M","Seldom","Yes","No","No","Yes","Website Account",1110.0,"Early Adopter"
"F",61.0,"S","Seldom","No","No","Yes","Yes","Credit Card",2963.0,"Early Majority"
"F",45.0,"M","Frequent","Yes","No","No","No","Bank Transfer",2908.0,"Innovator"
"F",31.0,"M","Seldom","Yes","Yes","No","No","Credit Card",6587.0,"Early Majority"
"M",38.0,"S","Regular","Yes","Yes","No","No","Credit Card",2392.0,"Early Adopter"
"F",16.0,"M","Regular","Yes","Yes","Yes","No","Website Account",4277.0,"Early Adopter"
"F",50.0,"M","Seldom","Yes","No","Yes","Yes","Website Account",1438.0,"Early Majority"
"M",43.0,"S","Seldom","Yes","Yes","Yes","No","Bank Transfer",8813.0,"Late Majority"
"F",50.0,"S","Seldom","Yes","No","No","No","Credit Card",9461.0,"Late Majority"
"M",58.0,"S","Regular","Yes","No","Yes","No","Credit Card",6695.0,"Early Majority"
"M",25.0,"S","Regular","Yes","Yes","Yes","No","Website Account",9716.0,"Early Adopter"
"M",54.0,"S","Frequent","Yes","Yes","Yes","Yes","Monthly Billing",3873.0,"Innovator"
"M",19.0,"M","Regular","Yes","Yes","Yes","No","Website Account",3027.0,"Early Adopter"
"F",65.0,"M","Seldom","Yes","No","No","Yes","Website Account",1588.0,"Early Majority"
"F",55.0,"M","Regular","Yes","Yes","No","Yes","Website Account",9793.0,"Early Adopter"
"M",18.0,"M","Seldom","Yes","Yes","Yes","No","Bank Transfer",7481.0,"Early Majority"
"F",55.0,"S","Regular","Yes","No","Yes","Yes","Website Account",8002.0,"Early Majority"
"M",56.0,"S","Seldom","Yes","No","Yes","No","Bank Transfer",7615.0,"Late Majority"
"M",26.0,"M","Seldom","Yes","No","Yes","Yes","Bank Transfer",3715.0,"Innovator"
"F",22.0,"S","Seldom","Yes","Yes","Yes","No","Bank Transfer",3518.0,"Early Majority"
"F",59.0,"M","Seldom","Yes","Yes","Yes","Yes","Bank Transfer",1388.0,"Early Majority"
"F",40.0,"S","Seldom","Yes","Yes","No","No","Website Account",4833.0,"Late Majority"
"M",24.0,"M","Regular","Yes","No","Yes","No","Credit Card",7365.0,"Innovator"
"F",59.0,"M","Seldom","Yes","No","No","No","Website Account",8431.0,"Late Majority"
"M",33.0,"M","Seldom","Yes","Yes","No","No","Credit Card",8722.0,"Early Majority"
"M",56.0,"M","Frequent","Yes","No","Yes","Yes","Website Account",3712.0,"Innovator"
"M",66.0,"M","Seldom","Yes","No","Yes","Yes","Bank Transfer",1530.0,"Early Majority"
"M",60.0,"M","Regular","Yes","Yes","Yes","Yes","Bank Transfer",9492.0,"Early Adopter"
"M",37.0,"S","Seldom","No","Yes","Yes","Yes","Website Account",3432.0,"Early Adopter"
"M",55.0,"M","Seldom","Yes","No","Yes","Yes","Bank Transfer",3793.0,"Early Majority"
"M",45.0,"S","Regular","No","No","No","No","Website Account",3235.0,"Early Majority"
"M",35.0,"S","Seldom","Yes","No","Yes","No","Bank Transfer",1654.0,"Early Majority"
"F",32.0,"M","Frequent","Yes","Yes","No","No","Monthly Billing",6147.0,"Innovator"
"M",53.0,"S","Seldom","Yes","No","Yes","No","Website Account",6266.0,"Late Majority"
"F",34.0,"S","Seldom","Yes","No","Yes","No","Bank Transfer",9303.0,"Early Majority"
"F",48.0,"S","Seldom","Yes","Yes","No","Yes","Monthly Billing",3777.0,"Early Adopter"
"M",65.0,"S","Regular","Yes","No","No","Yes","Credit Card",5379.0,"Innovator"
"F",53.0,"S","Regular","Yes","Yes","No","No","Bank Transfer",2181.0,"Early Adopter"
"M",64.0,"S","Seldom","Yes","No","Yes","Yes","Bank Transfer",9114.0,"Early Adopter"
"F",50.0,"M","Regular","Yes","Yes","No","No","Bank Transfer",2983.0,"Early Adopter"
"M",43.0,"S","Seldom","Yes","Yes","Yes","No","Website Account",4228.0,"Late Majority"
"M",33.0,"M","Seldom","Yes","No","Yes","No","Monthly Billing",6633.0,"Late Majority"
"F",53.0,"S","Seldom","Yes","No","Yes","No","Website Account",1181.0,"Late Majority"
"M",35.0,"M","Regular","Yes","Yes","Yes","No","Bank Transfer",2636.0,"Early Adopter"
"M",50.0,"M","Seldom","Yes","No","No","Yes","Credit Card",7666.0,"Early Adopter"
"F",29.0,"S","Seldom","Yes","No","Yes","No","Website Account",4393.0,"Late Majority"
"M",34.0,"S","Regular","Yes","No","Yes","Yes","Website Account",4897.0,"Innovator"
"M",63.0,"M","Seldom","Yes","Yes","Yes","Yes","Website Account",1042.0,"Early Majority"
"F",40.0,"M","Seldom","Yes","No","Yes","No","Bank Transfer",2525.0,"Early Majority"
"F",26.0,"M","Seldom","Yes","Yes","Yes","No","Bank Transfer",9829.0,"Early Majority"
"M",28.0,"M","Seldom","Yes","No","Yes","Yes","Website Account",8960.0,"Early Majority"
"M",54.0,"S","Regular","Yes","Yes","Yes","No","Credit Card",9310.0,"Early Majority"
"F",61.0,"M","Regular","Yes","Yes","Yes","No","Monthly Billing",6118.0,"Early Majority"
"M",29.0,"S","Seldom","Yes","No","Yes","No","Website Account",9396.0,"Late Majority"
"F",63.0,"M","Seldom","Yes","No","Yes","No","Website Account",6813.0,"Late Majority"
"F",51.0,"M","Seldom","Yes","Yes","Yes","No","Bank Transfer",4673.0,"Late Majority"
"F",64.0,"M","Regular","Yes","No","No","No","Website Account",6696.0,"Late Majority"
"F",49.0,"S","Seldom","Yes","Yes","Yes","Yes","Bank Transfer",2289.0,"Early Adopter"
"M",34.0,"S","Seldom","Yes","No","Yes","Yes","Bank Transfer",2785.0,"Early Adopter"
"M",34.0,"M","Seldom","Yes","No","Yes","Yes","Website Account",9067.0,"Early Adopter"
"F",28.0,"M","Seldom","Yes","No","Yes","Yes","Bank Transfer",4420.0,"Early Adopter"
"M",45.0,"S","Regular","Yes","Yes","Yes","No","Website Account",9389.0,"Early Majority"
"M",57.0,"S","Seldom","Yes","No","Yes","No","Bank Transfer",4662.0,"Late Majority"
"F",61.0,"M","Seldom","Yes","Yes","Yes","No","Website Account",3489.0,"Late Majority"
"M",64.0,"M","Seldom","Yes","No","No","No","Bank Transfer",6071.0,"Late Majority"
"M",66.0,"M","Regular","Yes","Yes","Yes","No","Bank Transfer",5758.0,"Early Majority"
"M",23.0,"M","Regular","Yes","No","Yes","No","Website Account",3126.0,"Early Adopter"
"M",43.0,"S","Seldom","Yes","Yes","Yes","Yes","Bank Transfer",5976.0,"Early Adopter"
"M",29.0,"M","Regular","Yes","No","Yes","No","Bank Transfer",4554.0,"Early Adopter"
"F",46.0,"S","Regular","Yes","Yes","Yes","No","Bank Transfer",9769.0,"Early Adopter"
"M",46.0,"S","Seldom","Yes","No","Yes","Yes","Website Account",3953.0,"Early Adopter"
"M",46.0,"S","Frequent","Yes","No","No","No","Website Account",1886.0,"Early Adopter"
"M",57.0,"S","Seldom","Yes","Yes","Yes","Yes","Bank Transfer",9770.0,"Early Adopter"
"M",43.0,"S","Seldom","Yes","Yes","Yes","Yes","Website Account",8160.0,"Early Majority"
"F",46.0,"S","Seldom","Yes","No","Yes","Yes","Monthly Billing",5811.0,"Early Majority"
"M",30.0,"M","Seldom","Yes","Yes","Yes","Yes","Website Account",8807.0,"Early Adopter"
"M",58.0,"S","Seldom","Yes","No","Yes","No","Website Account",3500.0,"Late Majority"
"M",64.0,"M","Seldom","Yes","No","Yes","No","Credit Card",1774.0,"Late Majority"
"M",22.0,"S","Seldom","Yes","No","Yes","No","Bank Transfer",9284.0,"Early Majority"
"F",36.0,"S","Frequent","Yes","No","Yes","No","Website Account",4298.0,"Innovator"
"F",61.0,"M","Frequent","Yes","No","No","No","Monthly Billing",9317.0,"Early Majority"
"F",21.0,"S","Seldom","Yes","No","No","No","Credit Card",9415.0,"Early Majority"
"M",40.0,"M","Seldom","Yes","Yes","Yes","Yes","Bank Transfer",5955.0,"Early Adopter"
"M",51.0,"S","Regular","Yes","No","Yes","Yes","Website Account",4671.0,"Early Adopter"
"F",64.0,"S","Seldom","Yes","No","Yes","Yes","Website Account",6214.0,"Late Majority"
"F",44.0,"S","Seldom","Yes","No","Yes","No","Monthly Billing",4168.0,"Late Majority"
"F",64.0,"M","Frequent","No","Yes","No","Yes","Website Account",2791.0,"Innovator"
"M",41.0,"S","Seldom","Yes","Yes","Yes","No","Bank Transfer",1303.0,"Early Majority"
"F",50.0,"S","Seldom","Yes","No","No","No","Website Account",3245.0,"Late Majority"
"F",52.0,"S","Seldom","Yes","Yes","Yes","No","Credit Card",1555.0,"Late Majority"
"M",62.0,"M","Seldom","Yes","No","Yes","No","Website Account",2498.0,"Late Majority"
"F",60.0,"M","Seldom","Yes","Yes","Yes","Yes","Monthly Billing",2197.0,"Late Majority"
"M",46.0,"M","Regular","Yes","No","Yes","No","Credit Card",2132.0,"Early Adopter"
"M",46.0,"M","Seldom","Yes","Yes","Yes","Yes","Monthly Billing",7407.0,"Early Majority"
"M",17.0,"M","Seldom","Yes","Yes","Yes","Yes","Website Account",5902.0,"Early Majority"
"F",28.0,"M","Seldom","Yes","No","Yes","No","Monthly Billing",8029.0,"Late Majority"
"M",41.0,"S","Seldom","Yes","No","No","Yes","Bank Transfer",6765.0,"Early Adopter"
"M",43.0,"M","Frequent","Yes","Yes","No","Yes","Website Account",4448.0,"Innovator"
"F",33.0,"S","Seldom","Yes","Yes","Yes","No","Website Account",3981.0,"Late Majority"
"M",44.0,"M","Regular","Yes","Yes","Yes","Yes","Website Account",7796.0,"Early Adopter"
"M",48.0,"M","Frequent","Yes","Yes","Yes","No","Bank Transfer",1670.0,"Innovator"
"F",38.0,"S","Regular","Yes","Yes","Yes","Yes","Bank Transfer",5464.0,"Innovator"
"M",57.0,"M","Frequent","Yes","No","Yes","No","Website Account",2186.0,"Early Adopter"
"M",45.0,"S","Seldom","Yes","No","Yes","No","Credit Card",4217.0,"Late Majority"
"M",32.0,"S","Seldom","Yes","Yes","Yes","Yes","Bank Transfer",7734.0,"Early Adopter"
"M",51.0,"M","Seldom","Yes","Yes","Yes","No","Website Account",6589.0,"Late Majority"
"F",40.0,"M","Regular","Yes","Yes","Yes","Yes","Website Account",1367.0,"Innovator"
"F",63.0,"M","Frequent","No","Yes","No","Yes","Website Account",6276.0,"Innovator"
"F",50.0,"S","Seldom","Yes","Yes","No","Yes","Bank Transfer",1807.0,"Early Adopter"
"M",16.0,"M","Seldom","Yes","No","Yes","No","Credit Card",6206.0,"Early Majority"
"F",49.0,"M","Seldom","Yes","No","Yes","No","Bank Transfer",2848.0,"Late Majority"
"F",45.0,"M","Regular","Yes","Yes","Yes","Yes","Bank Transfer",3477.0,"Innovator"
"F",62.0,"M","Regular","No","Yes","Yes","No","Bank Transfer",1337.0,"Early Majority"
"M",61.0,"M","Seldom","Yes","Yes","Yes","No","Monthly Billing",1732.0,"Late Majority"
"M",47.0,"S","Regular","Yes","No","No","Yes","Credit Card",6141.0,"Innovator"
"M",44.0,"M","Regular","Yes","No","No","No","Credit Card",5800.0,"Early Adopter"
"F",46.0,"S","Seldom","Yes","Yes","No","No","Bank Transfer",8820.0,"Late Majority"
"M",26.0,"M","Regular","Yes","Yes","Yes","No","Website Account",3647.0,"Early Adopter"
"F",35.0,"S","Regular","Yes","Yes","No","No","Website Account",8662.0,"Early Adopter"
"F",29.0,"S","Seldom","Yes","No","Yes","No","Website Account",8623.0,"Late Majority"
"F",49.0,"M","Regular","No","Yes","Yes","No","Credit Card",2791.0,"Early Adopter"
"F",56.0,"S","Seldom","Yes","No","Yes","No","Website Account",8249.0,"Late Majority"
"F",22.0,"M","Regular","Yes","Yes","Yes","No","Credit Card",4302.0,"Innovator"
"F",48.0,"M","Seldom","Yes","Yes","Yes","No","Bank Transfer",3209.0,"Late Majority"
"M",44.0,"S","Regular","Yes","No","Yes","No","Website Account",8345.0,"Early Majority"
"F",47.0,"S","Seldom","Yes","Yes","No","Yes","Credit Card",8014.0,"Early Adopter"
"F",53.0,"S","Seldom","Yes","No","Yes","Yes","Credit Card",4169.0,"Early Majority"
"F",53.0,"M","Seldom","Yes","No","Yes","Yes","Website Account",6180.0,"Early Adopter"
"M",22.0,"M","Seldom","Yes","No","No","No","Monthly Billing",2619.0,"Early Majority"
"F",34.0,"S","Regular","Yes","Yes","Yes","No","Website Account",9767.0,"Early Adopter"
"M",19.0,"M","Regular","Yes","Yes","Yes","Yes","Website Account",2765.0,"Innovator"
"M",24.0,"M","Regular","Yes","No","Yes","No","Bank Transfer",9202.0,"Innovator"
"M",54.0,"M","Seldom","Yes","No","Yes","Yes","Website Account",9899.0,"Early Majority"
"M",41.0,"M","Seldom","Yes","Yes","Yes","No","Website Account",1645.0,"Late Majority"
"M",65.0,"S","Regular","Yes","Yes","Yes","Yes","Credit Card",7708.0,"Innovator"
"M",56.0,"S","Seldom","Yes","No","Yes","Yes","Bank Transfer",9232.0,"Early Majority"
"F",56.0,"S","Regular","Yes","No","No","Yes","Website Account",7751.0,"Early Adopter"
"M",21.0,"S","Seldom","Yes","Yes","Yes","No","Bank Transfer",9885.0,"Early Majority"
"M",57.0,"S","Regular","Yes","Yes","Yes","Yes","Bank Transfer",9553.0,"Early Adopter"
"F",17.0,"S","Seldom","Yes","No","Yes","Yes","Website Account",2556.0,"Early Adopter"
"F",36.0,"M","Seldom","Yes","No","Yes","Yes","Bank Transfer",6815.0,"Early Adopter"
"M",18.0,"M","Seldom","Yes","No","Yes","Yes","Monthly Billing",7062.0,"Early Adopter"
"M",40.0,"M","Seldom","Yes","Yes","Yes","Yes","Bank Transfer",3032.0,"Early Majority"
"F",27.0,"M","Regular","Yes","Yes","Yes","Yes","Monthly Billing",4254.0,"Innovator"
"M",27.0,"M","Regular","No","No","Yes","No","Monthly Billing",1587.0,"Early Adopter"
"F",58.0,"S","Regular","Yes","Yes","Yes","No","Website Account",7606.0,"Early Majority"
"F",26.0,"S","Regular","Yes","No","Yes","Yes","Bank Transfer",1773.0,"Innovator"
"F",45.0,"M","Seldom","Yes","No","Yes","Yes","Bank Transfer",3727.0,"Early Adopter"
"F",43.0,"M","Seldom","Yes","Yes","Yes","Yes","Website Account",9726.0,"Early Majority"
"M",48.0,"S","Frequent","Yes","Yes","Yes","Yes","Website Account",6560.0,"Innovator"
"F",32.0,"M","Regular","Yes","No","Yes","No","Website Account",9024.0,"Early Adopter"
"F",26.0,"M","Seldom","Yes","No","Yes","Yes","Website Account",9646.0,"Early Majority"
"F",55.0,"S","Seldom","Yes","No","Yes","No","Monthly Billing",6810.0,"Late Majority"
"M",57.0,"S","Regular","No","Yes","Yes","Yes","Bank Transfer",8649.0,"Early Adopter"
"F",42.0,"M","Regular","Yes","Yes","Yes","Yes","Credit Card",9825.0,"Innovator"
"M",42.0,"S","Seldom","Yes","Yes","Yes","Yes","Bank Transfer",6327.0,"Early Majority"
